_date,total_clones,unique_clones
2021-10-06,1,1
2021-10-14,1,1
2021-10-15,6,5
2021-10-17,3,3
2021-10-18,5,4
2021-10-19,6,5
2021-10-20,5,4
2021-10-21,13,3
2021-10-22,4,1
2021-10-23,11,2
2021-10-24,9,3
2021-10-26,4,2
2021-10-25,15,4
2021-10-27,1,1
2021-10-28,1,1
2021-10-29,1,1
2021-10-30,1,1
2021-10-31,1,1
2021-11-01,1,1
2021-11-02,1,1
2021-11-03,1,1
2021-11-04,1,1
2021-11-05,1,1
2021-11-06,1,1
2021-11-07,1,1
2021-11-08,1,1
2021-11-09,1,1
2021-11-10,1,1
2021-11-11,1,1
2021-11-12,1,1
2021-11-13,1,1
2021-11-14,1,1
2021-11-15,1,1
2021-11-16,1,1
2021-11-17,2,2
2021-11-18,1,1
2021-11-19,1,1
2021-11-20,2,2
2021-11-21,1,1
2021-11-22,11,5
2021-11-23,2,2
2021-11-24,2,2
2021-11-25,2,2
2021-11-26,1,1
2021-11-27,1,1
2021-11-28,1,1
2021-11-29,2,2
2021-11-30,5,3
2021-12-01,5,3
2021-12-02,1,1
2021-12-03,1,1
2021-12-04,1,1
2021-12-05,2,2
2021-12-06,1,1
2021-12-07,1,1
2021-12-08,1,1
2021-12-09,1,1
2021-12-10,1,1
2021-12-11,1,1
2021-12-12,1,1
2021-12-13,2,2
2021-12-14,16,7
2021-12-15,2,2
2021-12-16,2,2
2021-12-17,3,3
2021-12-18,1,1
2021-12-19,1,1
2021-12-20,1,1
2021-12-21,2,2
2021-12-22,4,2
2021-12-23,3,3
2021-12-24,2,2
2021-12-25,2,2
2021-12-26,2,2
2021-12-27,1,1
2021-12-28,2,2
2021-12-29,2,2
2021-12-30,2,2
2021-12-31,5,3
2022-01-01,2,2
2022-01-02,3,2
2022-01-03,2,2
2022-01-04,14,3
2022-01-05,4,3
2022-01-06,1,1
2022-01-07,1,1
2022-01-08,1,1
2022-01-09,7,3
2022-01-10,1,1
2022-01-11,5,2
2022-01-12,2,2
2022-01-13,1,1
2022-01-14,2,2
2022-01-15,1,1
2022-01-16,2,2
2022-01-17,2,2
2022-01-18,1,1
2022-01-19,1,1
2022-01-20,2,2
2022-01-21,1,1
2022-01-22,1,1
2022-01-23,1,1
2022-01-24,1,1
2022-01-25,2,2
2022-01-26,2,2
2022-01-27,1,1
2022-01-28,2,2
2022-01-29,1,1
2022-01-30,1,1
2022-01-31,2,2
2022-02-01,1,1
2022-02-02,2,2
2022-02-03,3,2
2022-02-04,1,1
2022-02-05,1,1
2022-02-06,1,1
2022-02-07,2,2
2022-02-08,2,2
2022-02-09,1,1
2022-02-10,2,2
2022-02-11,1,1
2022-02-12,1,1
2022-02-13,1,1
2022-02-14,1,1
2022-02-15,1,1
2022-02-16,1,1
2022-02-17,1,1
2022-02-18,2,2
2022-02-19,2,2
2022-02-20,3,3
2022-02-21,1,1
2022-02-22,1,1
2022-02-23,1,1
2022-02-24,1,1
2022-02-25,1,1
2022-02-26,2,2
2022-02-27,1,1
2022-02-28,2,2
2022-03-01,3,3
2022-03-02,3,3
2022-03-03,2,2
2022-03-04,1,1
2022-03-05,1,1
2022-03-06,1,1
2022-03-07,1,1
2022-03-08,2,2
2022-03-09,2,2
2022-03-10,4,4
2022-03-11,2,2
2022-03-12,2,2
2022-03-13,2,2
2022-03-14,3,3
2022-03-15,2,2
2022-03-16,1,1
2022-03-17,2,2
2022-03-18,3,2
2022-03-19,2,2
2022-03-20,1,1
2022-03-21,1,1
2022-03-22,2,2
2022-03-23,1,1
2022-03-24,2,2
2022-03-25,125,4
2022-03-26,3,3
2022-03-27,2,2
2022-03-28,1,1
2022-03-29,21,3
2022-03-30,1,1
2022-03-31,1,1
2022-04-01,25,4
2022-04-02,1,1
2022-04-03,2,2
2022-04-04,2,2
2022-04-05,3,3
2022-04-06,1,1
2022-04-07,18,2
2022-04-08,2,2
2022-04-09,1,1
2022-04-10,1,1
2022-04-11,1,1
2022-04-12,1,1
2022-04-13,1,1
2022-04-14,2,2
2022-04-15,1,1
2022-04-16,2,2
2022-04-17,2,2
2022-04-18,2,2
2022-04-19,3,3
2022-04-20,1,1
2022-04-21,6,2
2022-04-22,1,1
2022-04-23,2,2
2022-04-24,2,2
2022-04-25,2,2
2022-04-26,1,1
2022-04-27,1,1
2022-04-28,5,2
2022-04-29,1,1
2022-04-30,1,1
2022-05-01,1,1
2022-05-02,1,1
2022-05-03,2,2
2022-05-04,2,2
2022-05-05,1,1
2022-05-06,3,3
2022-05-07,3,3
2022-05-08,2,2
2022-05-09,2,2
2022-05-10,2,2
2022-05-11,7,4
2022-05-12,2,2
2022-05-13,1,1
2022-05-14,2,2
2022-05-15,1,1
2022-05-16,1,1
2022-05-17,1,1
2022-05-18,1,1
2022-05-19,2,2
2022-05-20,2,2
2022-05-21,1,1
2022-05-22,2,2
2022-05-23,1,1
2022-05-24,1,1
2022-05-25,1,1
2022-05-26,2,2
2022-05-27,2,2
2022-05-28,1,1
2022-05-29,2,2
2022-05-30,1,1
2022-05-31,1,1
2022-06-01,2,2
2022-06-02,1,1
2022-06-03,1,1
2022-06-04,1,1
2022-06-05,1,1
2022-06-06,1,1
2022-06-07,1,1
2022-06-08,1,1
2022-06-09,1,1
2022-06-10,1,1
2022-06-11,1,1
2022-06-12,1,1
2022-06-13,1,1
2022-06-14,1,1
2022-06-15,1,1
2022-06-16,1,1
2022-06-17,2,2
2022-06-18,2,2
2022-06-19,1,1
2022-06-20,2,2
2022-06-21,2,2
2022-06-22,1,1
2022-06-23,2,2
2022-06-24,2,2
2022-06-25,2,2
2022-06-26,1,1
2022-06-27,1,1
2022-06-28,3,3
2022-06-29,1,1
2022-06-30,1,1
2022-07-01,1,1
2022-07-02,3,3
2022-07-03,2,2
2022-07-04,2,2
2022-07-05,1,1
2022-07-06,2,2
2022-07-07,1,1
2022-07-08,1,1
2022-07-09,2,2
2022-07-10,2,2
2022-07-11,2,2
2022-07-12,1,1
2022-07-13,3,3
2022-07-14,1,1
2022-07-15,1,1
2022-07-16,2,2
2022-07-17,3,3
2022-07-18,2,2
2022-07-19,1,1
2022-07-20,2,2
2022-07-21,2,2
2022-07-22,3,3
2022-07-23,1,1
2022-07-24,1,1
2022-07-25,2,2
